start_id,label,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,blinkSpeed,blinkStrength
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,1.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
303,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,2.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,3.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,3.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,2.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,2.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,2.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,1.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,5.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,2.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,1.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,1.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,5.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,5.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,5.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,1.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
364,drunk,0.0,0.0,0.0,0.0,0.0,0.0
